Entity,Code,Year,Production_Tonnes,Production_Million_Tonnes,YoY_Change,Decade,Cumulative_Production
World,OWID_WRL,1950,2000000.0,2.0,,1950,2000000.0
World,OWID_WRL,1951,2000000.0,2.0,0.0,1950,4000000.0
World,OWID_WRL,1952,2000000.0,2.0,0.0,1950,6000000.0
World,OWID_WRL,1953,3000000.0,3.0,50.0,1950,9000000.0
World,OWID_WRL,1954,3000000.0,3.0,0.0,1950,12000000.0
World,OWID_WRL,1955,4000000.0,4.0,33.33333333333333,1950,16000000.0
World,OWID_WRL,1956,5000000.0,5.0,25.0,1950,21000000.0
World,OWID_WRL,1957,5000000.0,5.0,0.0,1950,26000000.0
World,OWID_WRL,1958,6000000.0,6.0,19.999999999999996,1950,32000000.0
World,OWID_WRL,1959,7000000.0,7.0,16.666666666666675,1950,39000000.0
World,OWID_WRL,1960,8000000.0,8.0,14.28571428571428,1960,47000000.0
World,OWID_WRL,1961,9000000.0,9.0,12.5,1960,56000000.0
World,OWID_WRL,1962,11000000.0,11.0,22.222222222222232,1960,67000000.0
World,OWID_WRL,1963,13000000.0,13.0,18.181818181818187,1960,80000000.0
World,OWID_WRL,1964,15000000.0,15.0,15.384615384615374,1960,95000000.0
World,OWID_WRL,1965,17000000.0,17.0,13.33333333333333,1960,112000000.0
World,OWID_WRL,1966,20000000.0,20.0,17.647058823529417,1960,132000000.0
World,OWID_WRL,1967,23000000.0,23.0,14.999999999999991,1960,155000000.0
World,OWID_WRL,1968,27000000.0,27.0,17.391304347826097,1960,182000000.0
World,OWID_WRL,1969,32000000.0,32.0,18.518518518518512,1960,214000000.0
World,OWID_WRL,1970,35000000.0,35.0,9.375,1970,249000000.0
World,OWID_WRL,1971,38000000.0,38.0,8.571428571428562,1970,287000000.0
World,OWID_WRL,1972,44000000.0,44.0,15.789473684210531,1970,331000000.0
World,OWID_WRL,1973,51000000.0,51.0,15.909090909090917,1970,382000000.0
World,OWID_WRL,1975,46000000.0,46.0,-9.80392156862745,1970,428000000.0
World,OWID_WRL,1976,54000000.0,54.0,17.391304347826097,1970,482000000.0
World,OWID_WRL,1977,59000000.0,59.0,9.259259259259256,1970,541000000.0
World,OWID_WRL,1978,64000000.0,64.0,8.47457627118644,1970,605000000.0
World,OWID_WRL,1979,71000000.0,71.0,10.9375,1970,676000000.0
World,OWID_WRL,1980,70000000.0,70.0,-1.4084507042253502,1980,746000000.0
World,OWID_WRL,1981,72000000.0,72.0,2.857142857142847,1980,818000000.0
World,OWID_WRL,1982,73000000.0,73.0,1.388888888888884,1980,891000000.0
