refYear,refMonth,period,Reporter_Code,Reporter_ISO,Reporter,flowCode,Flow_Type,Partner_Code,Partner_ISO,Partner,Quantity_kg,Net_Weight_kg,Value_USD,Year,Quantity_Tonnes,Value_Per_Kg_USD,Is_Export
2023,52,2023,757,CHE,Switzerland,X,Export,826,GBR,United Kingdom,24073.0,24073.0,7703.386,2023,24.073,0.3200010800481868,1
2013,52,2013,528,NLD,Netherlands,X,Export,410,KOR,Rep. of Korea,796181.0,796181.0,281437.85,2013,796.181,0.35348476037483934,1
2019,52,2019,752,SWE,Sweden,X,Export,616,POL,Poland,13273000.0,13273000.0,1629459.9,2019,13273.0,0.12276500414375047,1
2012,52,2012,724,ESP,Spain,X,Export,156,CHN,China,89420296.0,89420296.0,35447421.175,2012,89420.296,0.396413596919876,1
2012,52,2012,784,ARE,United Arab Emirates,X,Export,300,GRC,Greece,1233210.0,1233210.0,193465.0,2012,1233.21,0.15687920143365688,1
2018,52,2018,152,CHL,Chile,X,Export,704,VNM,Viet Nam,2531421.0,2531421.0,859762.0,2018,2531.421,0.3396361174217959,1
2021,52,2021,152,CHL,Chile,X,Export,76,BRA,Brazil,1200.0,1200.0,1924.0,2021,1.2,1.6033333333333333,1
2013,52,2013,203,CZE,Czechia,X,Export,699,IND,India,1323720.0,1323720.0,790510.0,2013,1323.72,0.5971882271175173,1
2017,52,2017,233,EST,Estonia,X,Export,566,NGA,Nigeria,25.0,25.0,267.838,2017,0.025,10.71352,1
2017,52,2017,458,MYS,Malaysia,X,Export,842,USA,USA,567011.73,567011.73,414408.898,2017,567.01173,0.7308647706459265,1
2022,52,2022,586,PAK,Pakistan,X,Export,36,AUS,Australia,4128.0,4128.0,6687.18,2022,4.128,1.6199563953488372,1
2012,52,2012,792,TUR,Türkiye,X,Export,643,RUS,Russian Federation,21520.0,21520.0,19266.0,2012,21.52,0.8952602230483271,1
2016,52,2016,842,USA,USA,X,Export,340,HND,Honduras,704546.0,704546.0,987836.0,2016,704.546,1.4020887209635708,1
2022,52,2022,392,JPN,Japan,X,Export,344,HKG,"China, Hong Kong SAR",8547303.0,8547303.0,7057293.458,2022,8547.303,0.82567488926039,1
2022,52,2022,222,SLV,El Salvador,X,Export,320,GTM,Guatemala,162701.91,162701.91,82927.25,2022,162.70191,0.5096882390624671,1
2023,52,2023,24,AGO,Angola,X,Export,516,NAM,Namibia,1510.0,1510.0,631.162,2023,1.51,0.4179880794701987,1
2018,52,2018,112,BLR,Belarus,X,Export,56,BEL,Belgium,18020.0,18020.0,16200.0,2018,18.02,0.8990011098779135,1
2016,52,2016,320,GTM,Guatemala,X,Export,222,SLV,El Salvador,161745.0,161745.0,112531.0,2016,161.745,0.6957309344956567,1
2017,52,2017,842,USA,USA,X,Export,332,HTI,Haiti,9072.0,9072.0,12815.0,2017,9.072,1.4125881834215168,1
2013,52,2013,124,CAN,Canada,X,Export,608,PHL,Philippines,375539.0,375539.0,451311.0,2013,375.539,1.2017686578491182,1
2021,52,2021,40,AUT,Austria,X,Export,757,CHE,Switzerland,8515290.0,8515290.0,1169728.984,2021,8515.29,0.13736807366513648,1
2013,52,2013,12,DZA,Algeria,X,Export,156,CHN,China,658836.0,658836.0,176548.0,2013,658.836,0.2679695705759855,1
2017,52,2017,414,KWT,Kuwait,X,Export,410,KOR,Rep. of Korea,5915980.0,5915980.0,950635.082,2017,5915.98,0.16068936710401321,1
2023,52,2023,410,KOR,Rep. of Korea,X,Export,586,PAK,Pakistan,115010.0,115010.0,19329.0,2023,115.01,0.16806364663942266,1
2016,52,2016,792,TUR,Türkiye,X,Export,156,CHN,China,39508.0,39508.0,4555.0,2016,39.508,0.11529310519388478,1
2023,52,2023,214,DOM,Dominican Rep.,X,Export,380,ITA,Italy,689092.0,689092.0,293572.084,2023,689.092,0.42602741578773223,1
2013,52,2013,842,USA,USA,X,Export,48,BHR,Bahrain,19154.0,19154.0,193027.0,2013,19.154,10.07763391458703,1
2017,52,2017,380,ITA,Italy,X,Export,788,TUN,Tunisia,39307.0,39307.0,18234.181,2017,39.307,0.4638914442720126,1
2019,52,2019,608,PHL,Philippines,X,Export,699,IND,India,360167.6,360167.6,266371.0,2019,360.1676,0.7395751311333946,1
2018,52,2018,380,ITA,Italy,X,Export,512,OMN,Oman,2431340.0,2431340.0,1017433.204,2018,2431.34,0.4184660327226961,1
2018,52,2018,40,AUT,Austria,X,Export,428,LVA,Latvia,400426.0,400426.0,61228.222,2018,400.426,0.15290770829067044,1
2023,52,2023,100,BGR,Bulgaria,X,Export,428,LVA,Latvia,982040.0,982040.0,525399.949,2023,982.04,0.535008705348051,1
2023,52,2023,710,ZAF,South Africa,X,Export,454,MWI,Malawi,500.0,500.0,2305.661,2023,0.5,4.611322,1
2020,52,2020,360,IDN,Indonesia,X,Export,554,NZL,New Zealand,1026.5,1026.5,2129.297,2020,1.0265,2.0743273258645885,1
2017,52,2017,251,FRA,France,X,Export,276,DEU,Germany,35090525.0,35090525.0,9459868.352,2017,35090.525,0.2695846913661166,1
2020,52,2020,724,ESP,Spain,X,Export,826,GBR,United Kingdom,5353858.0,5353858.0,2109840.499,2020,5353.858,0.39407853159347894,1
2019,52,2019,818,EGY,Egypt,X,Export,504,MAR,Morocco,216273.765,216273.765,87662.0,2019,216.27376500000003,0.4053288664022656,1
2023,52,2023,528,NLD,Netherlands,X,Export,380,ITA,Italy,9251544.0,9251544.0,5472312.38,2023,9251.544,0.5915026054029467,1
2022,52,2022,792,TUR,Türkiye,X,Export,795,TKM,Turkmenistan,950.0,950.0,10404.0,2022,0.95,10.951578947368422,1
2012,52,2012,422,LBN,Lebanon,X,Export,834,TZA,United Rep. of Tanzania,56500.0,56500.0,49021.0,2012,56.5,0.8676283185840707,1
2019,52,2019,100,BGR,Bulgaria,X,Export,792,TUR,Türkiye,4608513.0,4608513.0,1902722.195,2019,4608.513,0.4128711788379462,1
2012,52,2012,554,NZL,New Zealand,X,Export,458,MYS,Malaysia,541045.0,541045.0,251029.929,2012,541.045,0.4639723664390208,1
2021,52,2021,646,RWA,Rwanda,X,Export,450,MDG,Madagascar,7539.0,7539.0,3025.16,2021,7.539,0.4012680726886855,1
2013,52,2013,705,SVN,Slovenia,X,Export,752,SWE,Sweden,11790.0,11790.0,7317.0,2013,11.79,0.6206106870229008,1
2012,52,2012,586,PAK,Pakistan,X,Export,392,JPN,Japan,13205.0,13205.0,11542.0,2012,13.205,0.8740628549791746,1
2019,52,2019,428,LVA,Latvia,X,Export,417,KGZ,Kyrgyzstan,42508.0,42508.0,4547.305,2019,42.508,0.10697527524230734,1
2014,52,2014,826,GBR,United Kingdom,X,Export,348,HUN,Hungary,78865.0,78865.0,60340.0,2014,78.865,0.7651049261396057,1
