Source,Source_ISO,Target,Target_ISO,Flow_Type,Total_Quantity_Tonnes,Total_Value_USD,First_Year,Last_Year,Num_Transactions
Albania,ALB,Bulgaria,BGR,Export,424.25,269619.0,2016,2016,1
Albania,ALB,Germany,DEU,Export,68.2,43314.0,2012,2012,1
Albania,ALB,Greece,GRC,Export,753.9630000000001,573459.0,2012,2016,3
Albania,ALB,Italy,ITA,Export,232.223,151772.0,2013,2016,2
Albania,ALB,North Macedonia,MKD,Export,1409.105,651018.0,2016,2016,1
Albania,ALB,Serbia,SRB,Export,130.48,110579.0,2012,2013,2
Albania,ALB,Türkiye,TUR,Export,4788.87,3274127.0,2012,2016,3
Algeria,DZA,China,CHN,Export,2138.236,633152.0,2013,2016,3
Algeria,DZA,"China, Hong Kong SAR",HKG,Export,2401.0,680649.0,2014,2016,3
Algeria,DZA,France,FRA,Export,176.88,67785.0,2015,2016,2
Algeria,DZA,India,IND,Export,66.545,32692.7,2017,2017,1
Algeria,DZA,Italy,ITA,Export,0.09,1503.0,2014,2014,1
Algeria,DZA,Tunisia,TUN,Export,483.3,131470.0,2013,2016,3
Algeria,DZA,Türkiye,TUR,Export,1840.9,433893.0,2012,2015,2
Algeria,DZA,United Arab Emirates,ARE,Export,96.0,22540.66,2015,2017,2
Algeria,DZA,United Kingdom,GBR,Export,39.13,10797.22,2017,2017,1
Andorra,AND,Germany,DEU,Export,0.8,24491.429,2018,2018,1
Andorra,AND,Spain,ESP,Export,8209.823,1260583.635,2012,2023,4
Angola,AGO,China,CHN,Export,194.817,69307.04,2015,2015,1
Angola,AGO,Dem. Rep. of the Congo,COD,Export,19.068,15799.426,2015,2023,3
Angola,AGO,Germany,DEU,Export,0.108,43.021,2020,2020,1
Angola,AGO,Lebanon,LBN,Export,1.687,2931.68,2017,2017,1
Angola,AGO,Namibia,NAM,Export,130.88,54903.763000000006,2021,2023,3
Angola,AGO,Rep. of Korea,KOR,Export,550.897754,473268.07999999996,2016,2017,2
Angola,AGO,South Africa,ZAF,Export,74.205,115340.106,2018,2018,1
Angola,AGO,Türkiye,TUR,Export,14.0,3726.374,2021,2021,1
Angola,AGO,United Arab Emirates,ARE,Export,592.0527099999999,86016.163,2015,2023,3
Antigua and Barbuda,ATG,China,CHN,Export,62.96,14259.0,2015,2016,2
Antigua and Barbuda,ATG,"China, Hong Kong SAR",HKG,Export,28.0,6667.0,2015,2015,1
Argentina,ARG,Brazil,BRA,Export,4432.188,3867054.61,2014,2017,2
Argentina,ARG,Chile,CHL,Export,1610.4560000000001,1467013.1099999999,2014,2017,2
Argentina,ARG,China,CHN,Export,32844.804000000004,18030469.79,2013,2017,4
Argentina,ARG,"China, Hong Kong SAR",HKG,Export,153.769,188718.0,2012,2013,2
Argentina,ARG,Ireland,IRL,Export,963.06,1085495.0,2012,2012,1
Argentina,ARG,Mexico,MEX,Export,97.06099999999999,89466.0,2013,2015,2
Argentina,ARG,Paraguay,PRY,Export,454.71,48218.5,2017,2017,1
Argentina,ARG,USA,USA,Export,3287.598,1837123.49,2014,2016,3
Argentina,ARG,United Kingdom,GBR,Export,94.264,97936.6,2012,2015,2
Argentina,ARG,Uruguay,URY,Export,407.10200000000003,426694.0,2012,2013,2
Argentina,ARG,Viet Nam,VNM,Export,250.0,150000.0,2015,2015,1
Armenia,ARM,Bulgaria,BGR,Export,110.075,31750.0,2013,2013,1
Armenia,ARM,Georgia,GEO,Export,10.01,3093.09,2019,2019,1
Armenia,ARM,Russian Federation,RUS,Export,158.155,48213.0,2016,2016,1
Aruba,ABW,"Areas, nes",_X ,Export,39.917,2050.838,2022,2022,1
Australia,AUS,Bangladesh,BGD,Export,169.54000000000002,97589.553,2013,2018,3
Australia,AUS,Belgium,BEL,Export,6455.828,7456524.571,2014,2023,8
Australia,AUS,Brazil,BRA,Export,4843.84,3236627.178,2019,2022,3
Australia,AUS,Cambodia,KHM,Export,16.0444,15903.994,2019,2019,1
Australia,AUS,China,CHN,Export,139081.498,55871143.616,2013,2023,7
Australia,AUS,"China, Hong Kong SAR",HKG,Export,420743.816,119326327.672,2012,2023,8
Australia,AUS,Cocos Isds,CCK,Export,0.044,2198.77,2020,2020,1
Australia,AUS,Colombia,COL,Export,40.25,8220.935,2018,2018,1
Australia,AUS,Cuba,CUB,Export,1102.33,44453.066,2021,2021,1
Australia,AUS,Ecuador,ECU,Export,74.56,24030.672,2017,2017,1
Australia,AUS,Egypt,EGY,Export,48.796,20395.0,2013,2014,2
Australia,AUS,Fiji,FJI,Export,0.668,3788.0,2012,2012,1
Australia,AUS,France,FRA,Export,2567.0,624281.29,2018,2022,4
Australia,AUS,Germany,DEU,Export,88.34,21023.032,2017,2019,2
Australia,AUS,Honduras,HND,Export,1959.41,614779.959,2021,2021,1
Australia,AUS,India,IND,Export,2348.032,1085646.023,2015,2022,6
Australia,AUS,Indonesia,IDN,Export,54301.794,17852876.797,2012,2020,5
Australia,AUS,Ireland,IRL,Export,1056.7640000000001,345632.706,2019,2022,3
Australia,AUS,Italy,ITA,Export,319.953,144385.69,2021,2022,2
Australia,AUS,Japan,JPN,Export,850.7810000000001,2283966.94,2012,2020,4
Australia,AUS,Kenya,KEN,Export,0.1,4844.547,2018,2018,1
Australia,AUS,Kuwait,KWT,Export,44.754,14442.061,2019,2019,1
Australia,AUS,Latvia,LVA,Export,4397.68,1760653.753,2021,2021,1
Australia,AUS,Lithuania,LTU,Export,692.04,138269.517,2020,2023,4
Australia,AUS,Malaysia,MYS,Export,224830.527,51969846.717,2013,2023,8
Australia,AUS,Mali,MLI,Export,106.0,64088.0,2014,2014,1
Australia,AUS,Mexico,MEX,Export,1719.53,414884.67799999996,2020,2021,2
