Entity,Code,Year,Waste_Per_Capita_kg,Waste_Category,Global_Rank,Waste_Normalized
Albania,ALB,2019,24.23915307,Very High,12.0,0.3486852033960538
Algeria,DZA,2019,17.75899473,High,22.0,0.25546679257550053
Angola,AGO,2019,7.445278869,Medium,68.0,0.10710186817503381
Antigua and Barbuda,ATG,2019,6.463917526,Medium,74.0,0.09298478337009927
Argentina,ARG,2019,10.40191152,High,55.0,0.14963363709881283
Australia,AUS,2019,0.20894338,Very Low,150.0,0.003005693505179839
Bahamas,BHS,2019,5.686375321,Medium,81.0,0.08179967879501433
Bahrain,BHR,2019,0.635588056,Very Low,109.0,0.009143064938879996
Bangladesh,BGD,2019,6.268108387,Medium,77.0,0.09016802862368349
Barbados,BRB,2019,3.038327526,Low,92.0,0.04370696650694235
Belgium,BEL,2019,0.19793743,Very Low,151.0,0.002847370650283292
Belize,BLZ,2019,15.43846154,High,31.0,0.22208544525673288
Benin,BEN,2019,11.29861876,High,51.0,0.16253295521703098
Bosnia and Herzegovina,BIH,2019,16.82853681,High,27.0,0.2420819639822848
Brazil,BRA,2019,15.62046908,High,29.0,0.22470366116226553
Brunei,BRN,2019,1.598152425,Low,100.0,0.02298975140590676
Bulgaria,BGR,2019,0.445285714,Very Low,122.0,0.0064055266001687506
Burkina Faso,BFA,2019,15.61429064,High,30.0,0.22461478303183546
Cambodia,KHM,2019,15.01152423,High,34.0,0.21594386422274198
Cameroon,CMR,2019,22.36814036,Very High,16.0,0.3217703006575419
Canada,CAN,2019,0.630483013,Very Low,110.0,0.009069627845114383
Cape Verde,CPV,2019,6.487272727,Medium,73.0,0.09332075274112155
Chile,CHL,2019,1.623417054,Low,99.0,0.023353188291517002
China,CHN,2019,8.559308412,Medium,62.0,0.12312741232950075
Colombia,COL,2019,1.697570472,Low,98.0,0.024419900464305085
Comoros,COM,2019,69.51586369,Very High,1.0,1.0
Congo,COG,2019,12.13361829,High,44.0,0.17454459523237492
Costa Rica,CRI,2019,1.139263074,Low,101.0,0.016388533688949696
Cote d'Ivoire,CIV,2019,11.33934751,High,50.0,0.1631188466645087
Croatia,HRV,2019,4.247941889,Low,87.0,0.06110751796084028
Cyprus,CYP,2019,0.698081735,Very Low,107.0,0.010042049367508908
Democratic Republic of Congo,COD,2019,15.78193592,High,28.0,0.22702639487266074
Denmark,DNK,2019,0.067567568,Very Low,155.0,0.0009719733656955156
Djibouti,DJI,2019,10.56365503,High,54.0,0.15196035076407463
Dominica,DMA,2019,15.02777778,High,33.0,0.216177674883176
Dominican Republic,DOM,2019,18.06667287,High,21.0,0.2598928059150178
East Timor,TLS,2019,13.33642691,High,41.0,0.19184724467313885
Ecuador,ECU,2019,6.262058248,Medium,78.0,0.0900809961295325
Egypt,EGY,2019,14.29961748,High,39.0,0.20570293917037283
El Salvador,SLV,2019,3.361171367,Low,90.0,0.04835114157523603
Equatorial Guinea,GNQ,2019,6.934365782,Medium,71.0,0.09975227831338192
Eritrea,ERI,2019,24.0457535,Very High,13.0,0.3459031107954001
Estonia,EST,2019,0.452488688,Very Low,120.0,0.0065091428629562055
Fiji,FJI,2019,4.334831461,Low,85.0,0.06235744232900288
Finland,FIN,2019,0.473788865,Very Low,119.0,0.006815550290978482
France,FRA,2019,0.426531552,Very Low,129.0,0.006135744121688261
French Guiana,GUF,2019,0.432989691,Very Low,126.0,0.006228645779773091
Gabon,GAB,2019,2.757017948,Low,94.0,0.03966027035634174
Gambia,GMB,2019,14.9467632,High,36.0,0.2150122634835381
Georgia,GEO,2019,0.076807606,Very Low,154.0,0.001104893213188243
Germany,DEU,2019,0.606774669,Very Low,113.0,0.008728578439388443
Ghana,GHA,2019,17.09520679,High,24.0,0.24591806650399395
Greece,GRC,2019,0.430249212,Very Low,127.0,0.006189223425586126
Grenada,GRD,2019,12.11607143,High,45.0,0.17429218004153088
Guadeloupe,GLP,2019,0.405,Very Low,133.0,0.005826008316692469
Guatemala,GTM,2019,17.68972186,High,23.0,0.2544702880897199
Guinea,GIN,2019,11.58852087,High,48.0,0.16670325670810923
Guinea-Bissau,GNB,2019,10.65330557,High,53.0,0.1532499922249042
Guyana,GUY,2019,35.20434227,Very High,6.0,0.5064217057992795
Haiti,HTI,2019,21.12829619,Very High,17.0,0.30393488721106615
Honduras,HND,2019,14.97999179,High,35.0,0.2154902635864812
Hong Kong,HKG,2019,0.777434104,Very Low,105.0,0.011183549519961377
Iceland,ISL,2019,0.445427729,Very Low,121.0,0.006407569515159108
India,IND,2019,9.509608,Medium,59.0,0.13679766739872898
Indonesia,IDN,2019,3.045657286,Low,91.0,0.04381240661242225
Iran,IRN,2019,5.981679813,Medium,80.0,0.08604769466254185
Iraq,IRQ,2019,12.51007377,High,42.0,0.17995998475668223
Ireland,IRL,2019,0.547931176,Very Low,115.0,0.007882102687286629
Israel,ISR,2019,0.711351098,Very Low,106.0,0.010232931884040293
Italy,ITA,2019,0.640842279,Very Low,108.0,0.009218648017634952
Jamaica,JAM,2019,16.84972863,High,26.0,0.24238681267257087
Japan,JPN,2019,0.281286458,Very Low,142.0,0.004046363564644362
Jordan,JOR,2019,12.31686795,High,43.0,0.17718067928963682
Kazakhstan,KAZ,2019,2.92393941,Low,93.0,0.04206146992633301
Kenya,KEN,2019,5.514455815,Medium,82.0,0.0793265813338843
Kiribati,KIR,2019,0.627118644,Very Low,112.0,0.009021230704930624
Kuwait,KWT,2019,0.627525553,Very Low,111.0,0.009027084174605038
Latvia,LVA,2019,0.500786576,Very Low,118.0,0.007203917917688753
Lebanon,LBN,2019,6.800175029,Medium,72.0,0.09782191672572456
Lesotho,LSO,2019,14.30164706,High,38.0,0.2057321350961985
Liberia,LBR,2019,8.087907636,Medium,66.0,0.1163462151900655
Libya,LBY,2019,27.81983178,Very High,8.0,0.40019400325744553
Lithuania,LTU,2019,0.375724638,Very Low,134.0,0.005404876211788314
Madagascar,MDG,2019,0.936260151,Very Low,102.0,0.013468294879787028
Malaysia,MYS,2019,25.491518,Very High,10.0,0.3667007305509031
Maldives,MDV,2019,0.11299435,Very Low,153.0,0.0016254469699734805
Malta,MLT,2019,0.588636364,Very Low,114.0,0.008467655190547197
Marshall Islands,MHL,2019,0.271186441,Very Low,144.0,0.003901072742321559
Martinique,MTQ,2019,0.369680851,Very Low,137.0,0.005317935092464072
Mauritania,MRT,2019,4.594785683,Low,84.0,0.06609693729031477
Mauritius,MUS,2019,0.235433071,Very Low,148.0,0.0033867531596801195
Mexico,MEX,2019,3.375352731,Low,89.0,0.04855514341376947
Monaco,MCO,2019,0.128205128,Very Low,152.0,0.0018442571406682036
Montenegro,MNE,2019,0.025477707,Very Low,157.0,0.000366502056474701
Morocco,MAR,2019,8.101776705,Medium,65.0,0.11654572460077854
Mozambique,MOZ,2019,14.30652704,High,37.0,0.2058023346124091
Myanmar,MMR,2019,8.038338422,Medium,67.0,0.11563315184928548
Namibia,NAM,2019,8.373547094,Medium,64.0,0.12045519755520999
Netherlands,NLD,2019,0.890975025,Very Low,103.0,0.012816859026210568
New Zealand,NZL,2019,0.358352498,Very Low,138.0,0.0051549744040877065
Nicaragua,NIC,2019,16.93583868,High,25.0,0.24362552345639998
Nigeria,NGA,2019,9.698005613,Medium,57.0,0.1395078058189339
North Korea,PRK,2019,0.01254578,Very Low,158.0,0.000180473626220726
Norway,NOR,2019,0.277746793,Very Low,143.0,0.00399544475543867
Oman,OMN,2019,0.251457286,Very Low,146.0,0.003617264788960288
Pakistan,PAK,2019,6.21734837,Medium,79.0,0.0894378353367762
Palau,PLW,2019,6.444444444,Medium,75.0,0.0927046590795224
Palestine,PSE,2019,0.427424212,Very Low,128.0,0.006148585219426481
Panama,PAN,2019,8.558407913,Medium,63.0,0.12311445846613489
Papua New Guinea,PNG,2019,13.62101185,High,40.0,0.1959410575799177
Peru,PER,2019,4.315995078,Low,86.0,0.06208647708452286
Philippines,PHL,2019,37.23096275,Very High,4.0,0.5355750583209075
Poland,POL,2019,0.372782939,Very Low,136.0,0.005362559266506323
Portugal,PRT,2019,0.373362018,Very Low,135.0,0.005370889437049588
Puerto Rico,PRI,2019,0.440845551,Very Low,124.0,0.0063416539419824045
Qatar,QAT,2019,0.540960452,Very Low,116.0,0.007781827388527696
Reunion,REU,2019,0.262092238,Very Low,145.0,0.0037702507613050413
Romania,ROU,2019,2.693570875,Low,95.0,0.03874757115889039
Russia,RUS,2019,2.491149775,Low,96.0,0.03583570199327548
Saint Kitts and Nevis,KNA,2019,1.830188679,Low,97.0,0.026327640654247905
Saint Lucia,LCA,2019,23.36612022,Very High,15.0,0.3361264462482865
Saint Vincent and the Grenadines,VCT,2019,11.12612613,High,52.0,0.16005161324925773
Samoa,WSM,2019,8.822335025,Medium,61.0,0.12691110426740063
Sao Tome and Principe,STP,2019,9.623255814,Medium,58.0,0.1384325145827732
Saudi Arabia,SAU,2019,0.209402084,Very Low,149.0,0.00301229205658453
Senegal,SEN,2019,4.029209622,Low,88.0,0.05796100930239337
Seychelles,SYC,2019,0.336734694,Very Low,139.0,0.004843997846328132
Sierra Leone,SLE,2019,11.67784462,High,47.0,0.16798819722756148
Singapore,SGP,2019,0.425223983,Very Low,130.0,0.006116934472629869
Slovakia,SVK,2019,0.315008246,Very Low,141.0,0.004531458422278289
Slovenia,SVN,2019,0.405964406,Very Low,132.0,0.005839881495400291
Solomon Islands,SLB,2019,5.253731343,Medium,83.0,0.0755760061678664
Somalia,SOM,2019,0.002719679,Very Low,159.0,3.912314190798483e-05
South Africa,ZAF,2019,12.09855186,High,46.0,0.17404015742295095
South Korea,KOR,2019,0.237306003,Very Low,147.0,0.003413695671800118
Spain,ESP,2019,0.435415196,Very Low,125.0,0.006263537168173534
Sri Lanka,LKA,2019,7.290658413,Medium,69.0,0.1048776211069183
Sudan,SDN,2019,18.25672109,High,20.0,0.2626266886564809
Suriname,SUR,2019,39.47160069,Very High,3.0,0.567807096032356
Sweden,SWE,2019,0.423973695,Very Low,131.0,0.006098948822540335
Syria,SYR,2019,0.029408319,Very Low,156.0,0.0004230447187010991
Taiwan,TWN,2019,0.315554808,Very Low,140.0,0.004539320829087148
Tanzania,TZA,2019,29.59055254,Very High,7.0,0.4256661856631246
Thailand,THA,2019,19.55720564,High,19.0,0.2813344264442095
Togo,TGO,2019,15.06842366,High,32.0,0.2167623742286557
Tonga,TON,2019,6.403846154,Medium,76.0,0.09212064432598291
Trinidad and Tobago,TTO,2019,52.42939068,Very High,2.0,0.7542075707180211
Tunisia,TUN,2019,24.7574177,Very High,11.0,0.3561405467161218
Turkey,TUR,2019,19.85029366,High,18.0,0.2855505579060439
Ukraine,UKR,2019,8.950697822,Medium,60.0,0.12875762950906955
United Arab Emirates,ARE,2019,0.525534746,Very Low,117.0,0.007559925434337937
United Kingdom,GBR,2019,0.442973493,Very Low,123.0,0.006372264825413118
United States,USA,2019,0.812815117,Very Low,104.0,0.011692512670556448
Uruguay,URY,2019,26.75332178,Very High,9.0,0.3848520375047648
Venezuela,VEN,2019,23.54576378,Very High,14.0,0.3387106558152007
Vietnam,VNM,2019,11.53604528,High,49.0,0.16594838455066888
Western Sahara,ESH,2019,7.068728522,Medium,70.0,0.10168511396941546
Yemen,YEM,2019,10.00401207,High,56.0,0.14390977165459712
Zimbabwe,ZWE,2019,35.83919426,Very High,5.0,0.5155541822773259
